Autauga CountyAlabama,55869
Baldwin CountyAlabama,223234
Barbour CountyAlabama,24686
Bibb CountyAlabama,22394
Blount CountyAlabama,57826
Bullock CountyAlabama,10101
Butler CountyAlabama,19448
Calhoun CountyAlabama,113605
Chambers CountyAlabama,33254
Cherokee CountyAlabama,26196
Chilton CountyAlabama,44428
Choctaw CountyAlabama,12589
Clarke CountyAlabama,23622
Clay CountyAlabama,13235
Cleburne CountyAlabama,14910
Coffee CountyAlabama,52342
Colbert CountyAlabama,55241
Conecuh CountyAlabama,12067
Coosa CountyAlabama,10663
Covington CountyAlabama,37049
Crenshaw CountyAlabama,13772
Cullman CountyAlabama,83768
Dale CountyAlabama,49172
Dallas CountyAlabama,37196
DeKalb CountyAlabama,71513
Elmore CountyAlabama,81209
Escambia CountyAlabama,36633
Etowah CountyAlabama,102268
Fayette CountyAlabama,16302
Franklin CountyAlabama,31362
Geneva CountyAlabama,26271
Greene CountyAlabama,8111
Hale CountyAlabama,14651
Henry CountyAlabama,17205
Houston CountyAlabama,105882
Jackson CountyAlabama,51626
Jefferson CountyAlabama,658573
Lamar CountyAlabama,13805
Lauderdale CountyAlabama,92729
Lawrence CountyAlabama,32924
Lee CountyAlabama,164542
Limestone CountyAlabama,98915
Lowndes CountyAlabama,9726
Macon CountyAlabama,18068
Madison CountyAlabama,372909
Marengo CountyAlabama,18863
Marion CountyAlabama,29709
Marshall CountyAlabama,96774
Mobile CountyAlabama,413210
Monroe CountyAlabama,20733
Montgomery CountyAlabama,226486
Morgan CountyAlabama,119679
Perry CountyAlabama,8923
Pickens CountyAlabama,19930
Pike CountyAlabama,33114
Randolph CountyAlabama,22722
Russell CountyAlabama,57961
St. Clair CountyAlabama,89512
Shelby CountyAlabama,217702
Sumter CountyAlabama,12427
Talladega CountyAlabama,79978
Tallapoosa CountyAlabama,40367
Tuscaloosa CountyAlabama,209355
Walker CountyAlabama,63521
Washington CountyAlabama,16326
Wilcox CountyAlabama,10373
Winston CountyAlabama,23629
Aleutians East BoroughAlaska,3337
Aleutians West Census AreaAlaska,5634
Anchorage MunicipalityAlaska,288000
Bethel Census AreaAlaska,18386
Bristol Bay BoroughAlaska,836
Denali BoroughAlaska,2097
Dillingham Census AreaAlaska,4916
Fairbanks North Star BoroughAlaska,96849
Haines BoroughAlaska,2530
Hoonah-Angoon Census AreaAlaska,2148
Juneau City and BoroughAlaska,31974
Kenai Peninsula BoroughAlaska,58708
Ketchikan Gateway BoroughAlaska,13901
Kodiak Island BoroughAlaska,12998
Kusilvak Census AreaAlaska,8314
Lake and Peninsula BoroughAlaska,1592
Matanuska-Susitna BoroughAlaska,108317
Nome Census AreaAlaska,10004
North Slope BoroughAlaska,9832
Northwest Arctic BoroughAlaska,7621
Petersburg BoroughAlaska,3266
Prince of Wales-Hyder Census AreaAlaska,6203
Sitka City and BoroughAlaska,8493
Skagway MunicipalityAlaska,1183
Southeast Fairbanks Census AreaAlaska,6893
Valdez-Cordova Census AreaAlaska,9202
Wrangell City and BoroughAlaska,2502
Yakutat City and BoroughAlaska,579
Yukon-Koyukuk Census AreaAlaska,5230
Apache CountyArizona,71887
Cochise CountyArizona,125922
Coconino CountyArizona,143476
Gila CountyArizona,54018
Graham CountyArizona,38837
Greenlee CountyArizona,9498
La Paz CountyArizona,21108
Maricopa CountyArizona,4485414
Mohave CountyArizona,212181
Navajo CountyArizona,110924
Pima CountyArizona,1047279
Pinal CountyArizona,462789
Santa Cruz CountyArizona,46498
Yavapai CountyArizona,235099
Yuma CountyArizona,213787
Arkansas CountyArkansas,17486
Ashley CountyArkansas,19657
Baxter CountyArkansas,41932
Benton CountyArkansas,279141
Boone CountyArkansas,37432
Bradley CountyArkansas,10763
Calhoun CountyArkansas,5189
Carroll CountyArkansas,28380
Chicot CountyArkansas,10118
Clark CountyArkansas,22320
Clay CountyArkansas,14551
Cleburne CountyArkansas,24919
Cleveland CountyArkansas,7956
Columbia CountyArkansas,23457
Conway CountyArkansas,20846
Craighead CountyArkansas,110332
Crawford CountyArkansas,63257
Crittenden CountyArkansas,47955
Cross CountyArkansas,16419
Dallas CountyArkansas,7009
Desha CountyArkansas,11361
Drew CountyArkansas,18219
Faulkner CountyArkansas,126007
Franklin CountyArkansas,17715
Fulton CountyArkansas,12477
Garland CountyArkansas,99386
Grant CountyArkansas,18265
Greene CountyArkansas,45325
Hempstead CountyArkansas,21532
Hot Spring CountyArkansas,33771
Howard CountyArkansas,13202
Independence CountyArkansas,37825
Izard CountyArkansas,13629
Jackson CountyArkansas,16719
Jefferson CountyArkansas,66824
Johnson CountyArkansas,26578
Lafayette CountyArkansas,6624
Lawrence CountyArkansas,16406
Lee CountyArkansas,8857
Lincoln CountyArkansas,13024
Little River CountyArkansas,12259
Logan CountyArkansas,21466
Lonoke CountyArkansas,73309
Madison CountyArkansas,16576
Marion CountyArkansas,16694
Miller CountyArkansas,43257
Mississippi CountyArkansas,40651
Monroe CountyArkansas,6701
Montgomery CountyArkansas,8986
Nevada CountyArkansas,8252
Newton CountyArkansas,7753
Ouachita CountyArkansas,23382
Perry CountyArkansas,10455
Phillips CountyArkansas,17782
Pike CountyArkansas,10718
Poinsett CountyArkansas,23528
Polk CountyArkansas,19964
Pope CountyArkansas,64072
Prairie CountyArkansas,8062
Pulaski CountyArkansas,391911
Randolph CountyArkansas,17958
St. Francis CountyArkansas,24994
Saline CountyArkansas,122437
Scott CountyArkansas,10281
Searcy CountyArkansas,7881
Sebastian CountyArkansas,127827
Sevier CountyArkansas,17007
Sharp CountyArkansas,17442
Stone CountyArkansas,12506
Union CountyArkansas,38682
Van Buren CountyArkansas,16545
Washington CountyArkansas,239187
White CountyArkansas,78753
Woodruff CountyArkansas,6320
Yell CountyArkansas,21341
Alameda CountyCalifornia,1671329
Alpine CountyCalifornia,1129
Amador CountyCalifornia,39752
Butte CountyCalifornia,219186
Calaveras CountyCalifornia,45905
Colusa CountyCalifornia,21547
Contra Costa CountyCalifornia,1153526
Del Norte CountyCalifornia,27812
El Dorado CountyCalifornia,192843
Fresno CountyCalifornia,999101
Glenn CountyCalifornia,28393
Humboldt CountyCalifornia,135558
Imperial CountyCalifornia,181215
Inyo CountyCalifornia,18039
Kern CountyCalifornia,900202
Kings CountyCalifornia,152940
Lake CountyCalifornia,64386
Lassen CountyCalifornia,30573
Los Angeles CountyCalifornia,10039107
Madera CountyCalifornia,157327
Marin CountyCalifornia,258826
Mariposa CountyCalifornia,17203
Mendocino CountyCalifornia,86749
Merced CountyCalifornia,277680
Modoc CountyCalifornia,8841
Mono CountyCalifornia,14444
Monterey CountyCalifornia,434061
Napa CountyCalifornia,137744
Nevada CountyCalifornia,99755
Orange CountyCalifornia,3175692
Placer CountyCalifornia,398329
Plumas CountyCalifornia,18807
Riverside CountyCalifornia,2470546
Sacramento CountyCalifornia,1552058
San Benito CountyCalifornia,62808
San Bernardino CountyCalifornia,2180085
San Diego CountyCalifornia,3338330
San Francisco CountyCalifornia,881549
San Joaquin CountyCalifornia,762148
San Luis Obispo CountyCalifornia,283111
San Mateo CountyCalifornia,766573
Santa Barbara CountyCalifornia,446499
Santa Clara CountyCalifornia,1927852
Santa Cruz CountyCalifornia,273213
Shasta CountyCalifornia,180080
Sierra CountyCalifornia,3005
Siskiyou CountyCalifornia,43539
Solano CountyCalifornia,447643
Sonoma CountyCalifornia,494336
Stanislaus CountyCalifornia,550660
Sutter CountyCalifornia,96971
Tehama CountyCalifornia,65084
Trinity CountyCalifornia,12285
Tulare CountyCalifornia,466195
Tuolumne CountyCalifornia,54478
Ventura CountyCalifornia,846006
Yolo CountyCalifornia,220500
Yuba CountyCalifornia,78668
Adams CountyColorado,517421
Alamosa CountyColorado,16233
Arapahoe CountyColorado,656590
Archuleta CountyColorado,14029
Baca CountyColorado,3581
Bent CountyColorado,5577
Boulder CountyColorado,326196
Broomfield CountyColorado,70465
Chaffee CountyColorado,20356
Cheyenne CountyColorado,1831
Clear Creek CountyColorado,9700
Conejos CountyColorado,8205
Costilla CountyColorado,3887
Crowley CountyColorado,6061
Custer CountyColorado,5068
Delta CountyColorado,31162
Denver CountyColorado,727211
Dolores CountyColorado,2055
Douglas CountyColorado,351154
Eagle CountyColorado,55127
Elbert CountyColorado,26729
El Paso CountyColorado,720403
Fremont CountyColorado,47839
Garfield CountyColorado,60061
Gilpin CountyColorado,6243
Grand CountyColorado,15734
Gunnison CountyColorado,17462
Hinsdale CountyColorado,820
Huerfano CountyColorado,6897
Jackson CountyColorado,1392
Jefferson CountyColorado,582881
Kiowa CountyColorado,1406
Kit Carson CountyColorado,7097
Lake CountyColorado,8127
La Plata CountyColorado,56221
Larimer CountyColorado,356899
Las Animas CountyColorado,14506
Lincoln CountyColorado,5701
Logan CountyColorado,22409
Mesa CountyColorado,154210
Mineral CountyColorado,769
Moffat CountyColorado,13283
Montezuma CountyColorado,26183
Montrose CountyColorado,42758
Morgan CountyColorado,29068
Otero CountyColorado,18278
Ouray CountyColorado,4952
Park CountyColorado,18845
Phillips CountyColorado,4265
Pitkin CountyColorado,17767
Prowers CountyColorado,12172
Pueblo CountyColorado,168424
Rio Blanco CountyColorado,6324
Rio Grande CountyColorado,11267
Routt CountyColorado,25638
Saguache CountyColorado,6824
San Juan CountyColorado,728
San Miguel CountyColorado,8179
Sedgwick CountyColorado,2248
Summit CountyColorado,31011
Teller CountyColorado,25388
Washington CountyColorado,4908
Weld CountyColorado,324492
Yuma CountyColorado,10019
Fairfield CountyConnecticut,943332
Hartford CountyConnecticut,891720
Litchfield CountyConnecticut,180333
Middlesex CountyConnecticut,162436
New Haven CountyConnecticut,854757
New London CountyConnecticut,265206
Tolland CountyConnecticut,150721
Windham CountyConnecticut,116782
Kent CountyDelaware,180786
New Castle CountyDelaware,558753
Sussex CountyDelaware,234225
"Washington, D.C.Washington, D.C.",705749
Alachua CountyFlorida,269043
Baker CountyFlorida,29210
Bay CountyFlorida,174705
Bradford CountyFlorida,28201
Brevard CountyFlorida,601942
Broward CountyFlorida,1952778
Calhoun CountyFlorida,14105
Charlotte CountyFlorida,188910
Citrus CountyFlorida,149657
Clay CountyFlorida,219252
Collier CountyFlorida,384902
Columbia CountyFlorida,71686
DeSoto CountyFlorida,38001
Dixie CountyFlorida,16826
Duval CountyFlorida,957755
Escambia CountyFlorida,318316
Flagler CountyFlorida,115081
Franklin CountyFlorida,12125
Gadsden CountyFlorida,45660
Gilchrist CountyFlorida,18582
Glades CountyFlorida,13811
Gulf CountyFlorida,13639
Hamilton CountyFlorida,14428
Hardee CountyFlorida,26937
Hendry CountyFlorida,42022
Hernando CountyFlorida,193920
Highlands CountyFlorida,106221
Hillsborough CountyFlorida,1471968
Holmes CountyFlorida,19617
Indian River CountyFlorida,159923
Jackson CountyFlorida,46414
Jefferson CountyFlorida,14246
Lafayette CountyFlorida,8422
Lake CountyFlorida,367118
Lee CountyFlorida,770577
Leon CountyFlorida,293582
Levy CountyFlorida,41503
Liberty CountyFlorida,8354
Madison CountyFlorida,18493
Manatee CountyFlorida,403253
Marion CountyFlorida,365579
Martin CountyFlorida,161000
Miami-Dade CountyFlorida,2716940
Monroe CountyFlorida,74228
Nassau CountyFlorida,88625
Okaloosa CountyFlorida,210738
Okeechobee CountyFlorida,42168
Orange CountyFlorida,1393452
Osceola CountyFlorida,375751
Palm Beach CountyFlorida,1496770
Pasco CountyFlorida,553947
Pinellas CountyFlorida,974996
Polk CountyFlorida,724777
Putnam CountyFlorida,74521
St. Johns CountyFlorida,264672
St. Lucie CountyFlorida,328297
Santa Rosa CountyFlorida,184313
Sarasota CountyFlorida,433742
Seminole CountyFlorida,471826
Sumter CountyFlorida,132420
Suwannee CountyFlorida,44417
Taylor CountyFlorida,21569
Union CountyFlorida,15237
Volusia CountyFlorida,553284
Wakulla CountyFlorida,33739
Walton CountyFlorida,74071
Washington CountyFlorida,25473
Appling CountyGeorgia,18386
Atkinson CountyGeorgia,8165
Bacon CountyGeorgia,11164
Baker CountyGeorgia,3038
Baldwin CountyGeorgia,44890
Banks CountyGeorgia,19234
Barrow CountyGeorgia,83240
Bartow CountyGeorgia,107738
Ben Hill CountyGeorgia,16700
Berrien CountyGeorgia,19397
Bibb CountyGeorgia,153159
Bleckley CountyGeorgia,12873
Brantley CountyGeorgia,19109
Brooks CountyGeorgia,15457
Bryan CountyGeorgia,39627
Bulloch CountyGeorgia,79608
Burke CountyGeorgia,22383
Butts CountyGeorgia,24936
Calhoun CountyGeorgia,6189
Camden CountyGeorgia,54666
Candler CountyGeorgia,10803
Carroll CountyGeorgia,119992
Catoosa CountyGeorgia,67580
Charlton CountyGeorgia,13392
Chatham CountyGeorgia,289430
Chattahoochee CountyGeorgia,10907
Chattooga CountyGeorgia,24789
Cherokee CountyGeorgia,258773
Clarke CountyGeorgia,128331
Clay CountyGeorgia,2834
Clayton CountyGeorgia,292256
Clinch CountyGeorgia,6618
Cobb CountyGeorgia,760141
Coffee CountyGeorgia,43273
Colquitt CountyGeorgia,45600
Columbia CountyGeorgia,156714
Cook CountyGeorgia,17270
Coweta CountyGeorgia,148509
Crawford CountyGeorgia,12404
Crisp CountyGeorgia,22372
Dade CountyGeorgia,16116
Dawson CountyGeorgia,26108
Decatur CountyGeorgia,26404
DeKalb CountyGeorgia,759297
Dodge CountyGeorgia,20605
Dooly CountyGeorgia,13390
Dougherty CountyGeorgia,87956
Douglas CountyGeorgia,146343
Early CountyGeorgia,10190
Echols CountyGeorgia,4006
Effingham CountyGeorgia,64296
Elbert CountyGeorgia,19194
Emanuel CountyGeorgia,22646
Evans CountyGeorgia,10654
Fannin CountyGeorgia,26188
Fayette CountyGeorgia,114421
Floyd CountyGeorgia,98498
Forsyth CountyGeorgia,244252
Franklin CountyGeorgia,23349
Fulton CountyGeorgia,1063937
Gilmer CountyGeorgia,31369
Glascock CountyGeorgia,2971
Glynn CountyGeorgia,85292
Gordon CountyGeorgia,57963
Grady CountyGeorgia,24633
Greene CountyGeorgia,18324
Gwinnett CountyGeorgia,936250
Habersham CountyGeorgia,45328
Hall CountyGeorgia,204441
Hancock CountyGeorgia,8457
Haralson CountyGeorgia,29792
Harris CountyGeorgia,35236
Hart CountyGeorgia,26205
Heard CountyGeorgia,11923
Henry CountyGeorgia,234561
Houston CountyGeorgia,157863
Irwin CountyGeorgia,9416
Jackson CountyGeorgia,72977
Jasper CountyGeorgia,14219
Jeff Davis CountyGeorgia,15115
Jefferson CountyGeorgia,15362
Jenkins CountyGeorgia,8676
Johnson CountyGeorgia,9643
Jones CountyGeorgia,28735
Lamar CountyGeorgia,19077
Lanier CountyGeorgia,10423
Laurens CountyGeorgia,47546
Lee CountyGeorgia,29992
Liberty CountyGeorgia,61435
Lincoln CountyGeorgia,7921
Long CountyGeorgia,19559
Lowndes CountyGeorgia,117406
Lumpkin CountyGeorgia,33610
McDuffie CountyGeorgia,21312
McIntosh CountyGeorgia,14378
Macon CountyGeorgia,12947
Madison CountyGeorgia,29880
Marion CountyGeorgia,8359
Meriwether CountyGeorgia,21167
Miller CountyGeorgia,5718
Mitchell CountyGeorgia,21863
Monroe CountyGeorgia,27578
Montgomery CountyGeorgia,9172
Morgan CountyGeorgia,19276
Murray CountyGeorgia,40096
Muscogee CountyGeorgia,195769
Newton CountyGeorgia,111744
Oconee CountyGeorgia,40280
Oglethorpe CountyGeorgia,15259
Paulding CountyGeorgia,168667
Peach CountyGeorgia,27546
Pickens CountyGeorgia,32591
Pierce CountyGeorgia,19465
Pike CountyGeorgia,18962
Polk CountyGeorgia,42613
Pulaski CountyGeorgia,11137
Putnam CountyGeorgia,22119
Quitman CountyGeorgia,2299
Rabun CountyGeorgia,17137
Randolph CountyGeorgia,6778
Richmond CountyGeorgia,202518
Rockdale CountyGeorgia,90896
Schley CountyGeorgia,5257
Screven CountyGeorgia,13966
Seminole CountyGeorgia,8090
Spalding CountyGeorgia,66703
Stephens CountyGeorgia,25925
Stewart CountyGeorgia,6621
Sumter CountyGeorgia,29524
Talbot CountyGeorgia,6195
Taliaferro CountyGeorgia,1537
Tattnall CountyGeorgia,25286
Taylor CountyGeorgia,8020
Telfair CountyGeorgia,15860
Terrell CountyGeorgia,8531
Thomas CountyGeorgia,44451
Tift CountyGeorgia,40644
Toombs CountyGeorgia,26830
Towns CountyGeorgia,12037
Treutlen CountyGeorgia,6901
Troup CountyGeorgia,69922
Turner CountyGeorgia,7985
Twiggs CountyGeorgia,8120
Union CountyGeorgia,24511
Upson CountyGeorgia,26320
Walker CountyGeorgia,69761
Walton CountyGeorgia,94593
Ware CountyGeorgia,35734
Warren CountyGeorgia,5254
Washington CountyGeorgia,20374
Wayne CountyGeorgia,29927
Webster CountyGeorgia,2607
Wheeler CountyGeorgia,7855
White CountyGeorgia,30798
Whitfield CountyGeorgia,104628
Wilcox CountyGeorgia,8635
Wilkes CountyGeorgia,9777
Wilkinson CountyGeorgia,8954
Worth CountyGeorgia,20247
Hawaii CountyHawaii,201513
Honolulu CountyHawaii,974563
Kalawao CountyHawaii,86
Kauai CountyHawaii,72293
Maui CountyHawaii,167417
Ada CountyIdaho,481587
Adams CountyIdaho,4294
Bannock CountyIdaho,87808
Bear Lake CountyIdaho,6125
Benewah CountyIdaho,9298
Bingham CountyIdaho,46811
Blaine CountyIdaho,23021
Boise CountyIdaho,7831
Bonner CountyIdaho,45739
Bonneville CountyIdaho,119062
Boundary CountyIdaho,12245
Butte CountyIdaho,2597
Camas CountyIdaho,1106
Canyon CountyIdaho,229849
Caribou CountyIdaho,7155
Cassia CountyIdaho,24030
Clark CountyIdaho,845
Clearwater CountyIdaho,8756
Custer CountyIdaho,4315
Elmore CountyIdaho,27511
Franklin CountyIdaho,13876
Fremont CountyIdaho,13099
Gem CountyIdaho,18112
Gooding CountyIdaho,15179
Idaho CountyIdaho,16667
Jefferson CountyIdaho,29871
Jerome CountyIdaho,24412
Kootenai CountyIdaho,165697
Latah CountyIdaho,40108
Lemhi CountyIdaho,8027
Lewis CountyIdaho,3838
Lincoln CountyIdaho,5366
Madison CountyIdaho,39907
Minidoka CountyIdaho,21039
Nez Perce CountyIdaho,40408
Oneida CountyIdaho,4531
Owyhee CountyIdaho,11823
Payette CountyIdaho,23951
Power CountyIdaho,7681
Shoshone CountyIdaho,12882
Teton CountyIdaho,12142
Twin Falls CountyIdaho,86878
Valley CountyIdaho,11392
Washington CountyIdaho,10194
Adams CountyIllinois,65435
Alexander CountyIllinois,5761
Bond CountyIllinois,16426
Boone CountyIllinois,53544
Brown CountyIllinois,6578
Bureau CountyIllinois,32628
Calhoun CountyIllinois,4739
Carroll CountyIllinois,14305
Cass CountyIllinois,12147
Champaign CountyIllinois,209689
Christian CountyIllinois,32304
Clark CountyIllinois,15441
Clay CountyIllinois,13184
Clinton CountyIllinois,37562
Coles CountyIllinois,50621
Cook CountyIllinois,5150233
Crawford CountyIllinois,18667
Cumberland CountyIllinois,10766
DeKalb CountyIllinois,104897
De Witt CountyIllinois,15638
Douglas CountyIllinois,19465
DuPage CountyIllinois,922921
Edgar CountyIllinois,17161
Edwards CountyIllinois,6395
Effingham CountyIllinois,34008
Fayette CountyIllinois,21336
Ford CountyIllinois,12961
Franklin CountyIllinois,38469
Fulton CountyIllinois,34340
Gallatin CountyIllinois,4828
Greene CountyIllinois,12969
Grundy CountyIllinois,51054
Hamilton CountyIllinois,8116
Hancock CountyIllinois,17708
Hardin CountyIllinois,3821
Henderson CountyIllinois,6646
Henry CountyIllinois,48913
Iroquois CountyIllinois,27114
Jackson CountyIllinois,56750
Jasper CountyIllinois,9610
Jefferson CountyIllinois,37684
Jersey CountyIllinois,21773
Jo Daviess CountyIllinois,21235
Johnson CountyIllinois,12417
Kane CountyIllinois,532403
Kankakee CountyIllinois,109862
Kendall CountyIllinois,128990
Knox CountyIllinois,49699
Lake CountyIllinois,696535
LaSalle CountyIllinois,108669
Lawrence CountyIllinois,15678
Lee CountyIllinois,34096
Livingston CountyIllinois,35648
Logan CountyIllinois,28618
McDonough CountyIllinois,29682
McHenry CountyIllinois,307774
McLean CountyIllinois,171517
Macon CountyIllinois,104009
Macoupin CountyIllinois,44926
Madison CountyIllinois,262966
Marion CountyIllinois,37205
Marshall CountyIllinois,11438
Mason CountyIllinois,13359
Massac CountyIllinois,13772
Menard CountyIllinois,12196
Mercer CountyIllinois,15437
Monroe CountyIllinois,34637
Montgomery CountyIllinois,28414
Morgan CountyIllinois,33658
Moultrie CountyIllinois,14501
Ogle CountyIllinois,50643
Peoria CountyIllinois,179179
Perry CountyIllinois,20916
Piatt CountyIllinois,16344
Pike CountyIllinois,15561
Pope CountyIllinois,4177
Pulaski CountyIllinois,5335
Putnam CountyIllinois,5739
Randolph CountyIllinois,31782
Richland CountyIllinois,15513
Rock Island CountyIllinois,141879
St. Clair CountyIllinois,259686
Saline CountyIllinois,23491
Sangamon CountyIllinois,194672
Schuyler CountyIllinois,6768
Scott CountyIllinois,4951
Shelby CountyIllinois,21634
Stark CountyIllinois,5342
Stephenson CountyIllinois,44498
Tazewell CountyIllinois,131803
Union CountyIllinois,16653
Vermilion CountyIllinois,75758
Wabash CountyIllinois,11520
Warren CountyIllinois,16844
Washington CountyIllinois,13887
Wayne CountyIllinois,16215
White CountyIllinois,13537
Whiteside CountyIllinois,55175
Will CountyIllinois,690743
Williamson CountyIllinois,66597
Winnebago CountyIllinois,282572
Woodford CountyIllinois,38459
Adams CountyIndiana,35777
Allen CountyIndiana,379299
Bartholomew CountyIndiana,83779
Benton CountyIndiana,8748
Blackford CountyIndiana,11758
Boone CountyIndiana,67843
Brown CountyIndiana,15092
Carroll CountyIndiana,20257
Cass CountyIndiana,37689
Clark CountyIndiana,118302
Clay CountyIndiana,26225
Clinton CountyIndiana,32399
Crawford CountyIndiana,10577
Daviess CountyIndiana,33351
Dearborn CountyIndiana,49458
Decatur CountyIndiana,26559
DeKalb CountyIndiana,43475
Delaware CountyIndiana,114135
Dubois CountyIndiana,42736
Elkhart CountyIndiana,206341
Fayette CountyIndiana,23102
Floyd CountyIndiana,78522
Fountain CountyIndiana,16346
Franklin CountyIndiana,22758
Fulton CountyIndiana,19974
Gibson CountyIndiana,33659
Grant CountyIndiana,65769
Greene CountyIndiana,31922
Hamilton CountyIndiana,338011
Hancock CountyIndiana,78168
Harrison CountyIndiana,40515
Hendricks CountyIndiana,170311
Henry CountyIndiana,47972
Howard CountyIndiana,82544
Huntington CountyIndiana,36520
Jackson CountyIndiana,44231
Jasper CountyIndiana,33562
Jay CountyIndiana,20436
Jefferson CountyIndiana,32308
Jennings CountyIndiana,27735
Johnson CountyIndiana,158167
Knox CountyIndiana,36594
Kosciusko CountyIndiana,79456
LaGrange CountyIndiana,39614
Lake CountyIndiana,485493
LaPorte CountyIndiana,109888
Lawrence CountyIndiana,45370
Madison CountyIndiana,129569
Marion CountyIndiana,964582
Marshall CountyIndiana,46258
Martin CountyIndiana,10255
Miami CountyIndiana,35516
Monroe CountyIndiana,148431
Montgomery CountyIndiana,38338
Morgan CountyIndiana,70489
Newton CountyIndiana,13984
Noble CountyIndiana,47744
Ohio CountyIndiana,5875
Orange CountyIndiana,19646
Owen CountyIndiana,20799
Parke CountyIndiana,16937
Perry CountyIndiana,19169
Pike CountyIndiana,12389
Porter CountyIndiana,170389
Posey CountyIndiana,25427
Pulaski CountyIndiana,12353
Putnam CountyIndiana,37576
Randolph CountyIndiana,24665
Ripley CountyIndiana,28324
Rush CountyIndiana,16581
St. Joseph CountyIndiana,271826
Scott CountyIndiana,23873
Shelby CountyIndiana,44729
Spencer CountyIndiana,20277
Starke CountyIndiana,22995
Steuben CountyIndiana,34594
Sullivan CountyIndiana,20669
Switzerland CountyIndiana,10751
Tippecanoe CountyIndiana,195732
Tipton CountyIndiana,15148
Union CountyIndiana,7054
Vanderburgh CountyIndiana,181451
Vermillion CountyIndiana,15498
Vigo CountyIndiana,107038
Wabash CountyIndiana,30996
Warren CountyIndiana,8265
Warrick CountyIndiana,62998
Washington CountyIndiana,28036
Wayne CountyIndiana,65884
Wells CountyIndiana,28296
White CountyIndiana,24102
Whitley CountyIndiana,33964
Adair CountyIowa,7152
Adams CountyIowa,3602
Allamakee CountyIowa,13687
Appanoose CountyIowa,12426
Audubon CountyIowa,5496
Benton CountyIowa,25645
Black Hawk CountyIowa,131228
Boone CountyIowa,26234
Bremer CountyIowa,25062
